id;patrimonio;nome;descricao;numero_de_serie;data_aquisicao;valor_compra;valor_atual;estado;status;observacoes;imagem;imagem_content_type
1;24140;incidentally;lift;who;2024-05-10;4630.88;30756.11;NOVO;USO;fibre imbalance;../fake-data/blob/hipster.png;image/png
2;29853;enrollment;joshingly failing vengeful;until prudent grandparent;2024-05-10;22607.1;12140.4;RUIM;MANUTENCAO;monthly wary lycra;../fake-data/blob/hipster.png;image/png
3;4266;enlightened worth over;pfft pixellate bitmap;dueling;2024-05-09;22067.95;16294.07;NOVO;ESTOQUE;pro lest veto;../fake-data/blob/hipster.png;image/png
4;15643;obediently scene wallow;overconfidently limestone since;accost laundry;2024-05-09;26021.63;9722.9;RUIM;MANUTENCAO;superior beneath emotion;../fake-data/blob/hipster.png;image/png
5;23058;free specialize saucer;snack ew hope;but grave;2024-05-10;27636.69;13845.47;RUIM;USO;decompress even;../fake-data/blob/hipster.png;image/png
6;3257;parch plus unlike;well;given once;2024-05-10;11584.7;3459.47;INSERVIVEL;MANUTENCAO;expensive yuck;../fake-data/blob/hipster.png;image/png
7;29283;disdain officially intently;even;bootleg waterfall bouncy;2024-05-09;1330.95;8021.11;NOVO;ESTOQUE;pertain;../fake-data/blob/hipster.png;image/png
8;21527;frilly where;juvenile ugh before;brooch;2024-05-10;5044.65;2871.32;REGULAR;ESTOQUE;venom an;../fake-data/blob/hipster.png;image/png
9;6398;huzzah whoa;next;now;2024-05-09;28393.2;30825.08;REGULAR;USO;of yippee urban;../fake-data/blob/hipster.png;image/png
10;3201;underneath;bludge marketplace;helplessly waterwheel blather;2024-05-10;27957.85;6612.05;BOM;USO;host or;../fake-data/blob/hipster.png;image/png
